,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
alqadarmodel,0.09175393308291448,0.7079783753613977,0.2002676915556879,1.0
alquran,0.029711476488122356,0.905830180507402,0.06445834300447545,0.9999999999999998
alqurâ,0.4128857753241569,0.5535950155289351,0.03351920914690807,1.0
altern,0.4464305668482629,0.502359415741069,0.051210017410668086,1.0
alternat,0.6336687340135424,0.13581730111957485,0.23051396486688275,1.0
alternatif,0.6267530819827867,0.19471069518420805,0.17853622283300521,0.9999999999999999
alternatifalternatif,0.633668735821577,0.13581730069720646,0.23051396348121658,1.0
alternatifpada,0.6336687359744392,0.1358173006579788,0.23051396336758204,1.0
alumni,0.5931878981505091,0.37744595925264646,0.029366142596844544,1.0
alumninya,0.06508819034263522,0.08540319587807862,0.8495086137792861,1.0
alur,0.7591048280456825,0.09008196225215184,0.15081320970216575,1.0
aman,0.013171761957315653,0.5096255434513132,0.4772026945913711,0.9999999999999999
amanatkan,0.09465233726825836,0.7049181951466418,0.2004294675850998,1.0
ambami,0.07781289081549304,0.3824915633468969,0.5396955458376101,1.0
ambang,0.8822929648232674,0.04363987833083313,0.07406715684589948,1.0
ambigu,0.7499974354663166,0.088314112336377,0.16168845219730643,1.0
ambil,0.06527138702429497,0.08362885036452083,0.8510997626111843,1.0
ambroxol,0.06501116876440222,0.08360495788361856,0.8513838733519792,1.0
ambunten,0.042089655785762584,0.866042912552675,0.09186743166156246,1.0
amen,0.09486509969205495,0.7016339785052484,0.20350092180269658,1.0
amerika,0.09216104016260802,0.7075485456931243,0.2002904141442677,1.0
amil,0.043171764204225915,0.8649327087678591,0.09189552702791504,1.0
aml,0.7602633957460476,0.08888233589789815,0.1508542683560542,1.0
amplitudu,0.7593225088313119,0.0898565663192715,0.15082092484941648,0.9999999999999999
an,0.12975202982668227,0.8478124912805947,0.02243547889272303,1.0
anak,0.029993266713791975,0.9179267682560608,0.052079965030147266,1.0
anakan,0.094040369161453,0.7055643220415098,0.20039530879703726,1.0
anakanak,0.0619884307042165,0.9298694396160713,0.00814212967971227,1.0
anakdalam,0.0656631264995729,0.08366481912867892,0.8506720543717481,0.9999999999999999
anaknya,0.09175393304139592,0.7079783756249182,0.200267691333686,1.0
anakus,0.06501116887822975,0.08360495806901326,0.8513838730527571,1.0
anali,0.03802964593700539,0.04890647263267585,0.9130638814303187,0.9999999999999999
analisa,0.4031006118395081,0.14140622129116692,0.45549316686932484,0.9999999999999999
analisi,0.27992851631203514,0.2281321592877109,0.49193932440025395,1.0
analit,0.14215090198047642,0.03046794864397779,0.8273811493755459,1.0
analitik,0.04208965572533761,0.8660429129145693,0.09186743136009326,1.0000000000000002
analityc,0.2060737214898048,0.0885269434182518,0.7053993350919433,0.9999999999999999
analsisi,0.09123136687219693,0.6957778164762043,0.21299081665159864,0.9999999999999998
analysi,0.4741330236398585,0.0026002292350797893,0.5232667471250617,1.0
analysissna,0.632222745320456,0.13734399601856853,0.23043325866097555,1.0
analyt,0.12194761245306365,0.12970037578546156,0.7483520117614748,1.0
analyz,0.6318808991046803,0.13770492192310888,0.2304141789722109,1.0
anatomi,0.01703896683772606,0.5627928708039256,0.42016816235834836,1.0
anayit,0.06501116871886368,0.08360495780951649,0.8513838734716198,1.0
ancaman,0.038031112216873574,0.04896365595573904,0.9130052318273874,1.0
anchor,0.09441431971991808,0.7046739794253054,0.2009117008547764,0.9999999999999999
ancillari,0.09486509968673372,0.7016339785119615,0.20350092180130483,1.0
and,0.31877995193995606,0.22791388741787152,0.45330616064217233,0.9999999999999999
andharini,0.09175393292203793,0.7079783763728733,0.20026769070508876,1.0
